city_id,city,Cloudiness,Humidity,Latitude,Max Temp,Wind Speed
133,shelton,90,93,41.32,46.0,11.41
134,mayo,90,100,38.89,50.0,5.82
135,roma,90,95,43.21,37.99,18.34
136,torbay,0,61,47.67,24.01,5.01
137,hobyo,84,76,5.35,79.45,18.21
138,doka,0,19,13.52,70.05,10.25
139,chapais,100,96,49.78,25.63,7.05
140,gizo,73,83,-8.1,76.86,6.26
141,tasiilaq,100,73,65.61,23.0,11.41
142,krompachy,0,69,48.91,32.0,2.15
143,slave lake,0,89,55.28,25.14,1.43
144,codrington,61,92,-38.27,62.22,14.03
145,westport,90,87,41.14,46.99,19.46
146,pangnirtung,100,98,66.15,-37.12,2.98
147,santiago,0,53,-33.46,93.0,1.01
148,bakel,68,5,14.9,97.86,7.43
149,tura,0,66,25.52,57.52,2.77
150,ostrovnoy,98,97,68.05,3.47,5.19
151,turukhansk,99,96,65.82,7.03,3.22
152,ribeira grande,100,92,38.52,54.48,11.32
153,nishihara,100,94,26.18,69.01,5.01
154,faanui,31,75,-16.48,81.73,11.41
155,berlevag,99,65,70.86,23.74,16.15
156,kimberley,62,18,-28.73,91.4,18.34
157,hualmay,97,51,-11.1,82.53,10.58
158,talakan,84,99,50.32,-16.22,3.11
159,coolum beach,86,93,-26.53,73.99,1.54
160,santa lucia,39,67,27.91,66.0,5.01
161,odesskoye,45,89,54.21,5.49,10.96
162,durban,62,69,-29.86,80.6,16.11
163,sinnamary,97,82,5.38,79.74,15.82
164,tabou,11,74,4.42,82.71,5.28
165,kiruna,99,96,67.86,10.53,2.33
166,barranca,83,88,-10.75,73.27,8.43
167,jamestown,100,93,42.1,39.0,4.0
168,oksfjord,88,70,70.24,21.0,13.0
169,natal,73,78,-5.79,82.85,11.3
170,sheltozero,100,84,61.37,27.75,27.27
171,kitsuki,100,89,33.42,46.0,2.44
172,namibe,24,81,-15.2,75.09,13.82
173,winslow,18,34,35.02,46.0,1.01
174,iskilip,1,66,40.74,29.95,3.09
175,teruel,100,86,40.67,46.99,1.99
176,broome,100,100,42.25,37.0,16.44
